listing_id;built_area;used_area
379911;550;0
288376;345;345
288376;345;345
288734;0;320
288734;0;320
355589;320;0
287787;600;NULL
289091;0;830
297526;830;NULL
297526;830;NULL
297526;830;NULL
301330;830;830
301330;830;830
318510;830;0
318510;830;0
318510;830;0
341929;700;700
341929;700;700
375909;671;0
375909;671;0
382852;942;0
382852;942;0
384677;830;0
782169;0;942
782169;0;942
289343;0;420
293366;470;470
358484;0;459
358484;0;459
358484;0;459
282018;497;0
282018;497;0
289819;330;330
296885;0;497
296885;0;497
299167;537;NULL
299167;537;NULL
301580;477;477
301580;477;477
303073;370;NULL
303073;370;NULL
303090;327;0
303090;327;0
318586;537;0
343078;537;537
343078;537;537
356527;0;320
356527;0;320
279799;208;208
282047;201;0
293658;250;208
294341;250;NULL
286177;300;0
289399;0;380
281983;310;0
281983;310;0
296947;0;310
304949;300;0
289072;274;274
383593;0;400
289017;0;383
317053;343;0
317053;343;0
332954;345;345
336924;343;343
356690;0;345
289260;0;406
290265;427;0
300874;513;513
300874;513;513
301096;427;427
304512;427;0
282682;460;0
287554;400;NULL
288864;0;400
300720;0;480
288985;0;560
358526;0;495
411386;0;0
288258;0;285
332912;299;299
336774;285;285
336774;285;285
296305;300;NULL
285153;330;NULL
285136;400;NULL
288802;0;350
294658;400;NULL
302718;350;0
308988;0;400
332873;350;350
341943;330;330
409516;356;318
716149;400;0
305056;0;NULL
308655;211;211
283110;600;0
283110;600;0
283110;600;0
283110;600;0
283110;600;0
284846;980;NULL
284846;980;NULL
284846;980;NULL
284846;980;NULL
284846;980;NULL
284846;980;NULL
288087;970;NULL
288087;970;NULL
288087;970;NULL
288087;970;NULL
288348;0;945
288348;0;945
288348;0;945
288348;0;945
294074;960;0
294074;960;0
294074;960;0
296315;600;NULL
296315;600;NULL
296315;600;NULL
